elec,office,county,dist,jID,n_dr,open,row_id_R,row_id_D,cand_R,cand_D,incumbency_R,incumbency_D,hits_R,hits_D,money_R,money_D,Rmoneyadv,Rnewsadv
2014-11-04,CCD,Charleston,8,2014-11-04_CCD_Charleston_8,2,0,312,314,Thomas Legare,Anna B Johnson,0,1,79,330,600,12017.2,-2.9955825119243045,-1.4200917407031817
2014-11-04,HOU,,116,2014-11-04_HOU_116,2,0,,313,,Robert L Brown,,1,,244,,20939.14,,
2014-11-04,HOU,,119,2014-11-04_HOU_119,2,0,316,315,Chris Cannon,Leon Stavrinakis,0,1,16,418,5488.22,106301.85,-2.963505926976124,-3.2046575758659213
2014-11-04,USH,,5,2014-11-04_USHOU_5,2,0,317,318,Mick Mulvaney,Tom Adams,1,0,1057,136,285481.5,28776.86,2.2945743897433175,2.0441546865901197
2014-11-04,USH,,,,,,,319,,Gloria Bromell-Tinubu,,0,,75,,,,
2014-11-04,JPR,Chesterfield,,2014-11-04_JPRB_Chesterfield,2,1,322,320,Ralph Watson,Gail Ingram,0,0,11,22,7188,2525,1.0459150560734356,-0.6505875661411493
2014-11-04,USH,,7,2014-11-04_USHOU_7,2,0,321,,Tom Rice,,1,,747,,629564,,,
2014-11-04,HOU,,53,2014-11-04_HOU_53,2,1,325,323,Richie Yow,Amy M Brown,0,0,22,48,25484.45,9125,1.02698021857646,-0.7563260821814768
2014-11-04,CCD,Chesterfield,4,2014-11-04_CCD_Chesterfield_4,2,0,326,324,Todd Smallwood,Douglas Curtis,0,1,6,49,902.34,2536.24,-1.0327331497939527,-1.9661128563728327
2014-11-04,CCD,Chesterfield,8,2014-11-04_CCD_Chesterfield_8,2,0,328,327,Stan Crawford,Mary Anderson,0,1,4,10,1150,4000,-1.2459132001353526,-0.7884573603642704
2014-11-04,HOU,,64,2014-11-04_HOU_64,2,0,330,329,Robert A McFadden,Robert L Ridgeway III,0,1,12,24,1129.28,6749.14,-1.7870978557695034,-0.6539264674066638
2014-11-04,HOU,,101,2014-11-04_HOU_101,2,1,332,331,Al Smith,Cezar McKnight,0,0,49,69,10302.45,9475,0.08371650431164568,-0.3364722366212134
2014-11-04,HOU,,62,2014-11-04_HOU_62,2,0,334,333,Chippy Johnson,Robert Williams,0,1,15,168,,27359.14,,-2.3573099926832923
